service_id,date,exception_type
732403_000,20170326,1
732409_000,20170326,2
732404_000,20170327,1
732410_000,20170327,2
732404_000,20170529,1
732410_000,20170529,2
732404_000,20170605,1
732410_000,20170605,2
732409_000,20170417,1
732410_000,20170417,2
732418_000,20170501,1
732410_000,20170501,2
732405_000,20170328,1
732411_000,20170328,2
732405_000,20170530,1
732411_000,20170530,2
732405_000,20170606,1
732411_000,20170606,2
732417_000,20170418,1
732411_000,20170418,2
732409_000,20170425,1
732411_000,20170425,2
732404_000,20170329,1
732410_000,20170329,2
732404_000,20170531,1
732410_000,20170531,2
732404_000,20170607,1
732410_000,20170607,2
732419_000,20170525,1
732412_000,20170525,2
732414_000,20170413,1
732412_000,20170413,2
732406_000,20170330,1
732412_000,20170330,2
732406_000,20170601,1
732412_000,20170601,2
732406_000,20170608,1
732412_000,20170608,2
732407_000,20170331,1
732413_000,20170331,2
732407_000,20170609,1
732413_000,20170609,2
732401_000,20170324,1
732413_000,20170324,2
732420_000,20170602,1
732413_000,20170602,2
732415_000,20170414,1
732413_000,20170414,2
732402_000,20170325,1
732408_000,20170325,2
732416_000,20170415,1
732408_000,20170415,2
