service_id,date,exception_type
661209_000,20160815,1
661206_000,20160815,2
661202_000,20160613,1
661206_000,20160613,2
661202_000,20160620,1
661206_000,20160620,2
661202_000,20160627,1
661206_000,20160627,2
661203_000,20160614,1
661207_000,20160614,2
661203_000,20160621,1
661207_000,20160621,2
661203_000,20160628,1
661207_000,20160628,2
661202_000,20160615,1
661206_000,20160615,2
661202_000,20160622,1
661206_000,20160622,2
661202_000,20160629,1
661206_000,20160629,2
661204_000,20160616,1
661208_000,20160616,2
661204_000,20160623,1
661208_000,20160623,2
661204_000,20160630,1
661208_000,20160630,2
661202_000,20160617,1
661206_000,20160617,2
661202_000,20160624,1
661206_000,20160624,2
