route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,ACTV S.p.a,11,S.Maria Elisabetta - Imbarco per Chioggia,,3,,FFFFFF,000000
2,ACTV S.p.a,11,S. Maria Del Mare - Imbarco per Chioggia,,3,,FFFFFF,000000
3,ACTV S.p.a,11,Imbarco per Chioggia - S.Maria Elisabetta,,3,,FFFFFF,000000
4,ACTV S.p.a,11,Imbarco per Chioggia - S.Maria Elisabetta,,3,,FFFFFF,000000
5,ACTV S.p.a,11,Imbarco per Chioggia - S. Maria Del Mare,,3,,FFFFFF,000000
6,ACTV S.p.a,11,Sbarco Ferry - S.Maria Elisabetta,,3,,FFFFFF,000000
7,ACTV S.p.a,A,SME 1 - Faro Rocchetta,,3,,FFFFFF,000000
8,ACTV S.p.a,A,SME 1 - Malamocco capolinea,,3,,FFFFFF,000000
9,ACTV S.p.a,A,SME 1 - Alberoni Spiaggia,,3,,FFFFFF,000000
10,ACTV S.p.a,A,SME 1 - SME 1,,3,,FFFFFF,000000
11,ACTV S.p.a,A,SME 1 - SME 1,,3,,FFFFFF,000000
12,ACTV S.p.a,A,Spiaggia S.Nicolo' - SME 1,,3,,FFFFFF,000000
13,ACTV S.p.a,A,SME 1 - Spiaggia S.Nicolo',,3,,FFFFFF,000000
14,ACTV S.p.a,A,Spiaggia S.Nicolo' - SME 1,,3,,FFFFFF,000000
15,ACTV S.p.a,A,Ospedale al Mare - SME 1,,3,,FFFFFF,000000
16,ACTV S.p.a,A,SME 1 - Ospedale al Mare,,3,,FFFFFF,000000
17,ACTV S.p.a,A,SME 1 - S. Nicolo',,3,,FFFFFF,000000
18,ACTV S.p.a,A,SME 1 - SME 1,,3,,FFFFFF,000000
19,ACTV S.p.a,A,SME 1 - SME 1,,3,,FFFFFF,000000
20,ACTV S.p.a,A,Faro Rocchetta - SME 1,,3,,FFFFFF,000000
21,ACTV S.p.a,A,Malamocco capolinea - SME 1,,3,,FFFFFF,000000
22,ACTV S.p.a,A,Alberoni Spiaggia - SME 1,,3,,FFFFFF,000000
23,ACTV S.p.a,C,SME 1 - SME 1,,3,,FFFFFF,000000
24,ACTV S.p.a,C,SME 1 - Ca' Bianca Capolinea,,3,,FFFFFF,000000
25,ACTV S.p.a,C,Ca' Bianca Capolinea - SME 1,,3,,FFFFFF,000000
26,ACTV S.p.a,N,SME 1 - Imbarco per Chioggia,,3,,FFFFFF,000000
27,ACTV S.p.a,N,SME 1 - Faro Rocchetta,,3,,FFFFFF,000000
28,ACTV S.p.a,N,SME 1 - Ca' Bianca Capolinea,,3,,FFFFFF,000000
29,ACTV S.p.a,N,Imbarco per Chioggia - SME 1,,3,,FFFFFF,000000
30,ACTV S.p.a,N,Faro Rocchetta - SME 1,,3,,FFFFFF,000000
31,ACTV S.p.a,N,Ca' Bianca Capolinea - SME 1,,3,,FFFFFF,000000
32,ACTV S.p.a,V,SME 1 - Incr. via Parri,,3,,FFFFFF,000000
33,ACTV S.p.a,V,SME 1 - Ca' Bianca Capolinea,,3,,FFFFFF,000000
34,ACTV S.p.a,V,Incr. via Parri - SME 1,,3,,FFFFFF,000000
35,ACTV S.p.a,V,Ca' Bianca Capolinea - SME 1,,3,,FFFFFF,000000
36,ACTV S.p.a,11,Scorze' - Capolinea - Ospedale Mirano,,3,,FFFFFF,000000
37,ACTV S.p.a,11,Ospedale Mirano - Scorze' - Capolinea,,3,,FFFFFF,000000
38,ACTV S.p.a,12,Scorze' - Capolinea - CORSIA B3,,3,,FFFFFF,000000
39,ACTV S.p.a,12,Scorze' - Capolinea - Mogliano,,3,,FFFFFF,000000
40,ACTV S.p.a,12,CORSIA B3 - Scorze' - Capolinea,,3,,FFFFFF,000000
41,ACTV S.p.a,12,Mogliano - Scorze' - Capolinea,,3,,FFFFFF,000000
42,ACTV S.p.a,14,Casale sul Sile (Chiesa) - Finanza,,3,,FFFFFF,000000
43,ACTV S.p.a,14,Casale sul Sile (Chiesa) - Finanza,,3,,FFFFFF,000000
44,ACTV S.p.a,14,Casale sul Sile (Chiesa) - Mogliano FS,,3,,FFFFFF,000000
45,ACTV S.p.a,14,Capolinea Zerman - CORSIA B5,,3,,FFFFFF,000000
46,ACTV S.p.a,14,Z.industriale - Mogliano FS,,3,,FFFFFF,000000
47,ACTV S.p.a,14,Capolinea Zerman - Mogliano FS,,3,,FFFFFF,000000
48,ACTV S.p.a,14,Finanza - Casale sul Sile (Chiesa),,3,,FFFFFF,000000
49,ACTV S.p.a,14,Mogliano FS - Casale sul Sile (Chiesa),,3,,FFFFFF,000000
50,ACTV S.p.a,14,Mogliano FS - Z.industriale,,3,,FFFFFF,000000
51,ACTV S.p.a,14,Mogliano FS - Capolinea Zerman,,3,,FFFFFF,000000
52,ACTV S.p.a,17,Capolinea - Caltana - Mirano - Capolinea,,3,,FFFFFF,000000
53,ACTV S.p.a,17,Mirano - Capolinea - Capolinea - Caltana,,3,,FFFFFF,000000
54,ACTV S.p.a,3,Zona Indust. - Capolinea - Mirano - Capolinea,,3,,FFFFFF,000000
55,ACTV S.p.a,3,Mirano - Capolinea - Borgoricco - Capolinea,,3,,FFFFFF,000000
56,ACTV S.p.a,4,Noale - Capolinea - Mirano - Capolinea,,3,,FFFFFF,000000
