stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1364,,Incr.v.Tasso (scuole),,45.522987,12.162656,,,,,,
1365,,Maerne Chiesa,,45.523727,12.157511,,,,,,
1366,,Civico 120,,45.526634,12.156894,,,,,,
1368,,Tratt. 'ai Bersaglieri',,45.492027,12.163081,,,,,,
1370,,bivio Correzzola,,45.234779,12.023730,,,,,,
1371,,Martellago  (sc. Medie),,45.545921,12.158889,,,,,,
1372,,Incr. via Trento,,45.543777,12.167394,,,,,,
1373,,Banca,,45.545643,12.162381,,,,,,
1374,,Martellago Centro,,45.546471,12.158202,,,,,,
1375,,Vempa 2 Extraurbano,,45.482323,12.237676,,,,,,
1376,,Vempa 1 Urbano,,45.482304,12.237786,,,,,,
1380,,Fincantieri,,45.476357,12.250622,,,,,,
1381,,Stazione Porto Marghera,,45.471931,12.256989,,,,,,
1382,,Incr. via Righi,,45.470062,12.264036,,,,,,
1392,,S.Chiara (distributore),,45.440994,12.315572,,,,,,
1394,,Sottopasso Park,,45.442757,12.308137,,,,,,
1395,,Casse Park,,45.440910,12.305601,,,,,,
1398,,SMFR - Ospedale,,45.513245,12.225361,,,,,,
1400,,Corsia 1,,45.512962,12.224432,,,,,,
1401,,Corsia 2,,45.512955,12.224361,,,,,,
1405,,SFMR - Ospedale,,45.513348,12.225932,,,,,,
1406,,Incr. via Cruto,,45.461475,12.223510,,,,,,
1407,,incr. via Ghega Civico 61,,45.464680,12.225366,,,,,,
1408,,Civico 49  C. Formazione,,45.468185,12.227427,,,,,,
1409,,Dopolavoro Enichem,,45.469761,12.228326,,,,,,
1410,,Civico 35,,45.472946,12.230142,,,,,,
1411,,Ior,,45.477501,12.232762,,,,,,
1412,,"Finanza  ""Casa Rossa""",,45.479996,12.234240,,,,,,
1413,,Enichem,,45.458412,12.221567,,,,,,
1414,,Incr. via Colombara,,45.456558,12.218300,,,,,,
1415,,Incr.SR11Padana Superiore,,45.451263,12.214230,,,,,,
1416,,Civico 20 (v.Lavaggi),,45.448124,12.212944,,,,,,
1417,,Incr. via della Chimica,,45.445549,12.211048,,,,,,
1418,,Incr.v.dell'Elettronica,,45.442921,12.209353,,,,,,
1419,,Chiesa,,45.437027,12.205185,,,,,,
1420,,Marcon SFMR,,45.545563,12.314231,,,,,,
1421,,Incr.v.dell'Elettronica,,45.424576,12.248248,,,,,,
1422,,"Civico 66 ""le chiuse""",,45.428089,12.240620,,,,,,
1423,,Civico 42,,45.428307,12.231270,,,,,,
1424,,Civico 32,,45.429249,12.221783,,,,,,
1425,,"Civico 28 ""scuole""",,45.435242,12.209766,,,,,,
1426,,Sottopasso Romea,,45.438725,12.199763,,,,,,
1429,,Incr. via dell'Erba,,45.446144,12.194242,,,,,,
1430,,Marcon SFMR,,45.545406,12.313919,,,,,,
1431,,prima di v.Mattei,,45.549187,12.310306,,,,,,
1432,,dopo v.Mattei,,45.548939,12.310175,,,,,,
1433,,Dopo cavalcavia,,45.547897,12.330299,,,,,,
1434,,Incr. via Zorzi,,45.456417,12.180250,,,,,,
1435,,Incr. Statale 11,,45.453999,12.179540,,,,,,
1436,,Camping Serenissima,,45.451443,12.183123,,,,,,
1437,,Incr. via della Stazione,,45.448410,12.193731,,,,,,
1438,,Civico 128,,45.448666,12.199621,,,,,,
1439,,Incr. via del Luccio,,45.449188,12.203701,,,,,,
1440,,Deposito Carburanti,,45.442795,12.210158,,,,,,
1442,,Silos,,45.434471,12.216965,,,,,,
1443,,Prima Silos,,45.430214,12.228069,,,,,,
1444,,Alcoa 1,,45.429951,12.234297,,,,,,
1445,,Alcoa 2,,45.429688,12.240067,,,,,,
1446,,Fronte Enel,,45.429081,12.243871,,,,,,
1447,,Entrata Centrale Enel,,45.428581,12.247434,,,,,,
1448,,Prima del cavalcavia,,45.547974,12.330210,,,,,,
1450,,Nuova Sirma,,45.444141,12.214549,,,,,,
1451,,Ingresso 4,,45.446564,12.225307,,,,,,
1452,,Ingresso 5,,45.448757,12.232399,,,,,,
1453,,Ingresso 7,,45.449039,12.236317,,,,,,
1455,,Cabina Enel,,45.444508,12.211937,,,,,,
1459,,Incr. via delle Macchine,,45.474003,12.239252,,,,,,
1465,,Banchina Molini,,45.474693,12.238216,,,,,,
1475,,V.le San Marco,,45.558056,12.300462,,,,,,
1477,,S. Lazzaro Chiesa,,45.653919,12.243081,,,,,,
1478,,S. Lazzaro Chiesa,,45.653755,12.242711,,,,,,
1479,,Incr. via Saccardo,,45.659000,12.246320,,,,,,
1480,,Incr. via Saccardo,,45.658848,12.246485,,,,,,
1481,,Ferrovia,,45.455368,12.173359,,,,,,
1482,,Incr. via Mare Egeo,,45.430626,12.140368,,,,,,
1483,,Incrocio via Mare Egeo,,45.430580,12.140191,,,,,,
1484,,Incr.v.Marovich,,45.482681,12.193038,,,,,,
1486,,Momolo,,45.221397,12.294708,,,,,,
1487,,Ca' Lin Capolinea,,45.535824,12.191459,,,,,,
1495,,Fronte civico 10,,45.389217,12.017684,,,,,,
1946,,Civico 4,,45.388630,12.017770,,,,,,
1947,,Fronte Civico 45,,45.383644,12.086059,,,,,,
1948,,Fronte Civico 42,,45.383575,12.086565,,,,,,
2001,,Localita' Passetto,,45.097275,12.056532,,,,,,
2002,,Incr. via Sabbioni,,45.082169,12.058259,,,,,,
2003,,Ponti Novi,,45.065887,12.057684,,,,,,
2004,,Incr. via Sabbioni,,45.082142,12.058672,,,,,,
2005,,Localita' Passetto,,45.097244,12.056767,,,,,,
2006,,Ponti Novi,,45.065903,12.058137,,,,,,
2007,,Ponte Grignella,,45.072308,12.099315,,,,,,
2008,,Civico 60,,45.087536,12.109254,,,,,,
2010,,Scuola Elementare,,45.075783,12.093864,,,,,,
2011,,Borgo S.Maria,,45.102467,12.059148,,,,,,
2012,,Borgo S.Maria,,45.102356,12.059383,,,,,,
2013,,Baggiolina - Botta,,45.110481,12.068046,,,,,,
2014,,Baggiolina - Botta,,45.110439,12.068411,,,,,,
2015,,Ca' Labia,,45.125538,12.076960,,,,,,
2016,,Ca' Labia,,45.125629,12.076694,,,,,,
2017,,Woom - Woom,,45.130608,12.078856,,,,,,
2018,,Woom - Woom,,45.130836,12.078642,,,,,,
2021,,Chiesa,,45.459774,12.067975,,,,,,
2022,,Chiesa,,45.459694,12.068141,,,,,,
2035,,Cavarzere (ponte),,45.139194,12.081579,,,,,,
2036,,Cavarzere (ponte),,45.139084,12.081537,,,,,,
2037,,Argine SN bivio S.R. 516,,45.141361,12.071306,,,,,,
2038,,Argine sn bivio S.R. 516,,45.141586,12.071183,,,,,,
2039,,Pontenovo,,45.142071,12.070729,,,,,,
2040,,Incr. via Trieste,,45.142780,12.083400,,,,,,
2041,,Villaggio Busonera,,45.143047,12.095500,,,,,,
2042,,Boscochiaro (ponte),,45.139374,12.117456,,,,,,
2044,,Capitello,,45.139019,12.107971,,,,,,
2045,,Prima del ponte,,45.141521,12.096963,,,,,,
2046,,Ca' Venier,,45.145676,12.065795,,,,,,
2047,,Ca' Venier,,45.145229,12.066016,,,,,,
2048,,bivio Marcanta,,45.153088,12.057848,,,,,,
2049,,bivio Marcanta,,45.153225,12.057814,,,,,,
2050,,bivio S.R. 516,,45.152641,12.057492,,,,,,
2051,,bivio S.R. 516,,45.152756,12.057103,,,,,,
2052,,Pizzeria,,45.151848,12.049039,,,,,,
2053,,Pizzeria,,45.151646,12.049036,,,,,,
2054,,Scuola  Elementare,,45.148716,12.035334,,,,,,
2055,,Scuola  Elementare,,45.148994,12.035322,,,,,,
2056,,Tabacchi,,45.142017,12.022827,,,,,,
2057,,Tabacchi,,45.142349,12.022713,,,,,,
2058,,Rottanova Centro,,45.141476,12.013852,,,,,,
2059,,Rottanova  (ponte),,45.143974,12.014087,,,,,,
2060,,Rottanova  (ponte),,45.144135,12.014452,,,,,,
2061,,Ponte,,45.161911,11.999954,,,,,,
2062,,Ponte,,45.162018,12.000146,,,,,,
2063,,Conetta,,45.176670,11.996360,,,,,,
2064,,Conetta,,45.176598,11.996669,,,,,,
2065,,Cona Chiesa,,45.185513,12.019096,,,,,,
2066,,Cona Chiesa,,45.185493,12.018793,,,,,,
2067,,Incr. via Piera,,45.189114,12.038447,,,,,,
2068,,Incr. via Piera,,45.187172,12.037596,,,,,,
2069,,bivio Monsole,,45.206905,12.094780,,,,,,
2070,,bivio Monsole,,45.206905,12.095164,,,,,,
2071,,Monsole Centro,,45.201778,12.072740,,,,,,
2072,,Monsole Centro,,45.201637,12.072899,,,,,,
2073,,bivio Correzzola,,45.220779,12.113800,,,,,,
